42.00 0.00057500 0.00005800 41.30685282 41.30685282 0.00032400
42.50 0.00057600 0.00005700 41.80685282 41.80685282 0.00032300
43.00 0.00057600 0.00005700 42.30685282 42.30685282 0.00032400
43.50 0.00066700 0.00005700 42.80685282 42.80685282 0.00032300
44.00 0.00057600 0.00005700 43.30685282 43.30685282 0.00032300
44.50 0.00057600 0.00005700 43.80685282 43.80685282 0.00032300
45.00 0.00057600 0.00005700 44.30685282 44.30685282 0.00032300
45.50 0.00057600 0.00005700 44.80685282 44.80685282 0.00032200
46.00 0.00061200 0.00010800 45.30685282 45.30685282 0.00032300
46.50 0.00057700 0.00005700 45.80685282 45.80685282 0.00032300
47.00 0.00057600 0.00005800 46.30685282 46.30685282 0.00049500
47.50 0.00057600 0.00005700 46.80685282 46.80685282 0.00032300
48.00 0.00057600 0.00005700 47.30685282 47.30685282 0.00032500
48.50 0.00057800 0.00005800 47.80685282 47.80685282 0.00032400
49.00 0.00057500 0.00005700 48.30685282 48.30685282 0.00032400
49.50 0.00057700 0.00005700 48.80685282 48.80685282 0.00032500
50.00 0.00057500 0.00005700 49.30685282 49.30685282 0.00032400
50.50 0.00057600 0.00005800 49.80685282 49.80685282 0.00032400
51.00 0.00065200 0.00008700 50.30685282 50.30685282 0.00036400
51.50 0.00091700 0.00009700 50.80685282 50.80685282 0.00060300
52.00 0.00096700 0.00006300 51.30685282 51.30685282 0.00035500
52.50 0.00063400 0.00006200 51.80685282 51.80685282 0.00035400
53.00 0.00233700 0.00014400 52.30685282 52.30685282 0.00080800
53.50 0.00144100 0.00014200 52.80685282 52.80685282 0.00069600
54.00 0.00108000 0.00010700 53.30685282 53.30685282 0.00060600
54.50 0.00108000 0.00010700 53.80685282 53.80685282 0.00053200
55.00 0.00089300 0.00008800 54.30685282 54.30685282 0.00050500
55.50 0.00089400 0.00008900 54.80685282 54.80685282 0.00048900
56.00 0.00089400 0.00008800 55.30685282 55.30685282 0.00045200
56.50 0.00076200 0.00007500 55.80685282 55.80685282 0.00042800
57.00 0.00076300 0.00007600 56.30685282 56.30685282 0.00042700
57.50 0.00076100 0.00007600 56.80685282 56.80685282 0.00042800
58.00 0.00076500 0.00008200 57.30685282 57.30685282 0.00037300
58.50 0.00067200 0.00006600 57.80685282 57.80685282 0.00037300
59.00 0.00066600 0.00006500 58.30685282 58.30685282 0.00037300
59.50 0.00066400 0.00006700 58.80685282 58.80685282 0.00037300
60.00 0.00066600 0.00006600 59.30685282 59.30685282 0.00037400
60.50 0.00066600 0.00006600 59.80685282 59.80685282 0.00038600
61.00 0.00087200 0.00008200 60.30685282 60.30685282 0.00054700
61.50 0.00063300 0.00006200 60.80685282 60.80685282 0.00035600
62.00 0.00063300 0.00006400 61.30685282 61.30685282 0.00035400
62.50 0.00063300 0.00006300 61.80685282 61.80685282 0.00035600
63.00 0.00063300 0.00006300 62.30685282 62.30685282 0.00035600
63.50 0.00064300 0.00006500 62.80685282 62.80685282 0.00035800
64.00 0.00063800 0.00006200 63.30685282 63.30685282 0.00035700
64.50 0.00082800 0.00006100 63.80685282 63.80685282 0.00049700
